name;company;email;phone;address;city;postal_code;industry;siren;website;found_date
Agence Immobiliere;Agence Immobiliere;;;ANDREZE 104 LD LE QUARTERON 49110 BEAUPREAU-EN-MAUGES;BEAUPREAU-EN-MAUGES;49110;immobilier;522941707;;2026-02-19
Agence Immobiliere;Agence Immobiliere;;;64 RES ELYSEE 2 78170 LA CELLE-SAINT-CLOUD;LA CELLE-SAINT-CLOUD;78170;immobilier;349532523;;2026-02-19
Credit Agricole Aquitaine Agence Immobiliere (C3Ai Credit Agricole Aquitaine Agence Immobiliere);Credit Agricole Aquitaine Agence Immobiliere (C3Ai Credit Agricole Aquitaine Agence Immobiliere);;;2EME ETAGE 13 COURS DU XXX JUILLET 33000 BORDEAUX;BORDEAUX;33000;immobilier;492498746;;2026-02-19
Agence Immobiliere D Entreprise;Agence Immobiliere D Entreprise;;;14 BOULEVARD SEBASTOPOL 35000 RENNES;RENNES;35000;immobilier;403418494;;2026-02-19
Les Agences Immobilieres Petit;Les Agences Immobilieres Petit;;;16 AVENUE DU GENERAL LECLERC 78160 MARLY-LE-ROI;MARLY-LE-ROI;78160;immobilier;304475072;;2026-02-19
Agence Immobiliere Du Nau;Agence Immobiliere Du Nau;;;11-13 11 RUE DE LA MARNE 51000 CHALONS-EN-CHAMPAGNE;CHALONS-EN-CHAMPAGNE;51000;immobilier;411356330;;2026-02-19
Agence Immobiliere La Provencale;Agence Immobiliere La Provencale;;;2 ROUTE DE LA CHAPELLE 13850 GREASQUE;GREASQUE;13850;immobilier;351268750;;2026-02-19
Agence Immobiliere Eurotransactions;Agence Immobiliere Eurotransactions;;;23 MARCHE AUX BESTIAUX 67500 HAGUENAU;HAGUENAU;67500;immobilier;394955686;;2026-02-19
Agence Immobiliere De Haute Maurienne (Agence Immobiliere Haute Maurienne);Agence Immobiliere De Haute Maurienne (Agence Immobiliere Haute Maurienne);;;85 RUE DU MONT CENIS 73480 VAL-CENIS;VAL-CENIS;73480;immobilier;339412694;;2026-02-19
Agence Immobiliere Du Pays Goelo (Aipg);Agence Immobiliere Du Pays Goelo (Aipg);;;12 RUE DU GRAND LEJON 22590 PORDIC;PORDIC;22590;immobilier;410355200;;2026-02-19
